ticker,t0,fwd_max_ret
5803.T,2026-03-09,1.094
5805.T,2023-10-04,1.05
5805.T,2024-08-02,1.017
5805.T,2025-08-20,1.038
5817.T,2025-12-19,1.21
5820.T,2021-11-10,1.033
5820.T,2022-11-22,1.174
5830.T,2025-08-05,1.062
5821.T,2025-04-07,1.177
5821.T,2025-10-09,1.077
5838.T,2024-08-06,1.152
5834.T,2025-04-07,1.225
5852.T,2023-03-16,1.037
5851.T,2023-01-05,1.002
5858.T,2024-08-05,1.223
5858.T,2025-04-03,1.057
5885.T,2025-04-07,1.435
5857.T,2025-07-18,1.029
5892.T,2025-02-10,1.326
5939.T,2022-09-08,1.076
5950.T,2024-06-19,1.916
5985.T,2025-08-12,1.648
5985.T,2026-02-19,1.007
5992.T,2023-12-21,1.002
5992.T,2025-01-21,1.031
5998.T,2025-11-17,1.107
6022.T,2025-10-01,1.007
6027.T,2023-02-21,1.0
6016.T,2022-11-01,1.001
6016.T,2023-05-10,1.846
6016.T,2023-11-09,2.49
6016.T,2024-12-24,1.083
6016.T,2025-07-03,1.331
6023.T,2023-08-17,1.079
6023.T,2025-04-04,1.16
6034.T,2022-02-17,1.042
6037.T,2025-03-13,1.02
6036.T,2022-01-25,1.075
6036.T,2023-01-31,1.003
6045.T,2025-04-07,1.058
6047.T,2021-10-21,1.002
6055.T,2025-04-09,1.014
6070.T,2022-03-07,1.054
6069.T,2021-12-20,1.017
6072.T,2025-08-06,2.812
6072.T,2026-02-13,1.892
6083.T,2025-04-07,1.251
6081.T,2022-05-11,1.059
6081.T,2025-08-15,1.132
6101.T,2025-10-28,1.02
6104.T,2022-12-21,1.01
6134.T,2025-08-06,1.081
6135.T,2024-08-01,1.015
6137.T,2023-10-05,1.111
6140.T,2025-08-20,1.143
6143.T,2025-11-10,1.084
6146.T,2023-01-25,1.046
6146.T,2023-09-12,1.035
6146.T,2025-04-07,1.294
6176.T,2025-04-07,1.03
6177.T,2025-08-19,1.584
6182.T,2022-12-23,1.011
6184.T,2022-03-10,1.072
6190.T,2025-04-16,1.106
6195.T,2021-11-16,1.128
6195.T,2022-06-24,1.103
6194.T,2024-02-22,1.011
6197.T,2025-06-11,1.071
6198.T,2021-07-21,1.007
6208.T,2025-12-17,1.03
6217.T,2026-04-16,2.01
6224.T,2025-04-07,1.182
6226.T,2024-05-08,1.071
6226.T,2025-02-07,1.01
6227.T,2023-02-17,1.122
6227.T,2023-08-23,1.299
6227.T,2024-08-02,1.015
6227.T,2025-04-07,1.331
6227.T,2025-10-09,4.246
6228.T,2023-11-20,1.357
6232.T,2024-02-16,1.199
6232.T,2024-12-24,1.072
6232.T,2025-10-17,1.318
6231.T,2023-11-30,1.005
6231.T,2024-08-05,1.095
6240.T,2024-08-05,1.1
6235.T,2025-08-20,1.194
6249.T,2022-12-16,1.285
6254.T,2023-04-25,1.012
6254.T,2023-10-27,2.025
6254.T,2025-04-07,1.006
6254.T,2025-12-16,1.021
6255.T,2024-01-16,1.045
6262.T,2022-03-08,1.016
6262.T,2025-05-01,1.056
6268.T,2025-04-07,1.029
6264.T,2025-04-07,1.311
6264.T,2025-10-14,1.196
6266.T,2023-05-16,1.028
6266.T,2025-12-12,1.02
6269.T,2023-08-10,1.05
6269.T,2024-08-07,1.037
6269.T,2025-02-28,1.006
6269.T,2025-09-02,1.096
6278.T,2025-02-25,1.016
6278.T,2025-09-02,1.022
6298.T,2021-09-22,1.019
6298.T,2022-09-02,1.011
6310.T,2025-02-12,1.148
6315.T,2023-03-03,1.056
6315.T,2023-09-05,1.643
6315.T,2025-04-07,1.345
6323.T,2023-08-25,1.121
6323.T,2025-04-04,1.052
6323.T,2025-10-23,1.039
6324.T,2024-11-13,1.42
6324.T,2025-09-04,1.02
6324.T,2026-03-23,1.097
6327.T,2026-02-17,3.32
6330.T,2025-01-28,1.155
6330.T,2025-08-01,3.97
6331.T,2025-02-10,1.018
6332.T,2025-02-26,1.032
6337.T,2022-05-24,1.032
6338.T,2021-12-15,1.099
6338.T,2022-06-23,2.021
6356.T,2025-04-07,1.09
6356.T,2025-10-09,1.949
6357.T,2025-04-07,1.202
6361.T,2023-09-29,1.008
6361.T,2025-04-07,1.259
6366.T,2025-05-19,1.01
6366.T,2025-11-19,1.798
6368.T,2023-08-25,1.045
6368.T,2025-04-03,1.043
6376.T,2025-11-05,1.038
6387.T,2023-01-04,1.074
6387.T,2025-04-07,1.261
6387.T,2025-10-09,1.334
6405.T,2024-08-05,1.009
6407.T,2025-04-07,1.006
6407.T,2025-10-24,1.02
6430.T,2023-02-28,1.041
6433.T,2025-10-17,2.156
6425.T,2022-06-20,1.035
6440.T,2025-10-28,1.004
6469.T,2025-07-07,1.111
6481.T,2025-11-12,1.034
6480.T,2025-10-28,1.286
6492.T,2024-08-05,1.021
6492.T,2025-04-04,1.023
6492.T,2025-10-17,1.169
6490.T,2025-08-04,1.043
6506.T,2025-11-18,1.01
6504.T,2025-04-07,1.23
6508.T,2025-11-21,1.038
6516.T,2025-10-21,1.009
6507.T,2023-09-21,1.045
6507.T,2024-06-19,1.033
6507.T,2025-04-04,1.081
6525.T,2025-04-02,1.015
6525.T,2025-11-18,1.043
6521.T,2022-07-04,1.037
6521.T,2024-12-13,1.004
6521.T,2025-08-28,1.326
6524.T,2024-02-14,1.045
6524.T,2025-04-07,1.268
6524.T,2025-10-31,1.036
6526.T,2023-12-01,1.067
6526.T,2025-04-04,1.068
6537.T,2024-05-13,1.033
6554.T,2021-11-11,1.343
6551.T,2025-04-07,1.09
6558.T,2022-05-09,1.005
6557.T,2024-04-26,1.421
6561.T,2021-11-19,1.017
6561.T,2022-07-15,1.047
6560.T,2022-02-22,1.013
6562.T,2022-12-23,1.01
6573.T,2023-08-07,3.884
6578.T,2023-10-13,1.032
6579.T,2022-06-13,1.073
6580.T,2025-03-10,1.081
6590.T,2022-12-12,1.183
6590.T,2024-08-05,1.007
6590.T,2025-04-01,1.063
6590.T,2025-10-03,1.126
6597.T,2022-02-14,1.042
6597.T,2024-12-11,1.04
6597.T,2025-11-12,1.024
6613.T,2025-07-08,1.121
6613.T,2026-01-15,6.019
6620.T,2023-12-22,1.008
6616.T,2025-12-10,1.025
6619.T,2021-12-13,1.181
6619.T,2025-12-12,1.092
6617.T,2025-10-10,1.001
6622.T,2023-10-03,1.104
6622.T,2025-08-05,1.032
6625.T,2023-08-28,1.005
6629.T,2025-12-05,1.261
6630.T,2022-01-19,1.019
6632.T,2022-05-19,1.011
6632.T,2024-06-17,1.001
6627.T,2022-08-31,1.025
6627.T,2023-04-26,1.01
6627.T,2025-04-03,1.075
6627.T,2025-10-07,1.083
6637.T,2025-04-03,1.129
6638.T,2023-11-10,1.084
6659.T,2024-02-29,1.392
6656.T,2025-04-07,1.113
6668.T,2021-08-06,1.003
6668.T,2025-10-14,1.29
6674.T,2025-12-11,1.01
6666.T,2025-09-01,1.059
6666.T,2026-03-19,1.068
6677.T,2023-02-10,1.077
6699.T,2022-02-24,1.106
6696.T,2022-07-25,1.233
6696.T,2023-11-15,1.04
6676.T,2025-04-07,1.059
6703.T,2025-04-04,1.013
6703.T,2025-10-08,1.022
6707.T,2022-08-29,1.041
6723.T,2022-12-07,1.015
6723.T,2025-10-30,1.077
6730.T,2022-06-20,1.015
6731.T,2025-01-07,1.116
6736.T,2023-11-15,1.172
6736.T,2024-05-24,1.226
6736.T,2025-05-30,1.048
6752.T,2025-11-05,1.015
6754.T,2025-10-14,1.079
6762.T,2026-01-14,1.031
6768.T,2025-12-16,1.0
6769.T,2023-12-22,1.076
6777.T,2022-02-21,1.073
6777.T,2023-08-14,1.128
6777.T,2024-04-22,1.009
6777.T,2025-04-03,1.019
6777.T,2025-10-07,1.9
6779.T,2025-10-14,1.079
6779.T,2026-04-21,1.293
6794.T,2025-04-03,1.109
6787.T,2023-12-14,1.003
6787.T,2024-08-05,1.194
6787.T,2025-04-07,1.153
6787.T,2025-10-09,2.007
6800.T,2025-08-04,1.004
6817.T,2022-06-20,1.04
6814.T,2023-07-10,1.039
6814.T,2024-08-05,1.185
6814.T,2025-02-12,1.095
6814.T,2025-08-18,1.033
6835.T,2025-07-22,1.009
6836.T,2025-01-23,1.002
6834.T,2024-06-13,1.101
6834.T,2025-03-04,1.02
6834.T,2025-09-04,2.562
6840.T,2025-10-24,1.069
6840.T,2026-05-07,1.039
6844.T,2025-04-07,1.07
6838.T,2025-09-10,1.046
6838.T,2026-03-31,1.03
6855.T,2023-08-28,1.145
6855.T,2025-03-31,1.113
6855.T,2025-10-02,1.639
6856.T,2023-08-10,1.027
6856.T,2025-11-14,1.058
6857.T,2022-11-22,1.024
6857.T,2023-11-01,1.056
6857.T,2025-03-25,1.01
6862.T,2023-05-22,1.119
6862.T,2025-06-23,1.045
6862.T,2025-12-25,1.584
6864.T,2025-11-21,1.09
6866.T,2025-10-28,1.045
6875.T,2025-03-31,1.0
6871.T,2023-04-26,1.001
6871.T,2023-10-30,3.076
6871.T,2025-04-02,1.006
6871.T,2025-10-07,1.002
6890.T,2025-04-07,1.191
6890.T,2025-10-24,1.008
6918.T,2022-09-07,1.023
6927.T,2022-12-01,1.016
6927.T,2023-06-07,1.193
6927.T,2024-04-04,1.012
6920.T,2023-07-20,1.041
6920.T,2025-04-07,1.057
6920.T,2025-10-09,1.13
6932.T,2025-04-07,1.106
6941.T,2023-11-08,1.117
6941.T,2025-04-04,1.03
6941.T,2025-10-08,1.894
6946.T,2022-01-28,1.053
6946.T,2022-12-05,1.031
6946.T,2023-07-20,1.033
6946.T,2025-01-21,1.023
6946.T,2025-09-02,1.035
6962.T,2025-11-26,1.104
6961.T,2023-01-30,1.192
6961.T,2025-04-23,1.005
6961.T,2025-10-28,1.29
6963.T,2025-04-07,1.179
6963.T,2025-11-07,1.141
6981.T,2025-10-29,1.012
6976.T,2025-04-07,1.053
6976.T,2025-11-07,1.18
6976.T,2026-05-20,1.131
6996.T,2025-11-06,1.359
6997.T,2025-04-04,1.009
6997.T,2025-10-29,1.089
6999.T,2022-03-08,1.025
6999.T,2025-11-18,1.176
7003.T,2023-08-10,1.044
7003.T,2024-02-16,1.347
7003.T,2024-10-31,1.049
7003.T,2025-05-13,1.756
7012.T,2023-12-08,1.04
7012.T,2024-09-05,1.022
7012.T,2025-08-27,1.021
7013.T,2021-11-30,1.014
7013.T,2023-12-26,1.029
7013.T,2024-08-05,1.313
7013.T,2025-04-04,1.231
7011.T,2021-11-29,1.074
7011.T,2023-03-14,1.042
7011.T,2023-12-08,1.02
7011.T,2025-02-25,1.037
7014.T,2021-11-10,1.023
7014.T,2022-05-20,1.119
7014.T,2023-02-07,1.215
7014.T,2023-08-10,1.233
7014.T,2024-12-17,1.027
7018.T,2024-09-05,1.082
7018.T,2025-04-07,1.303
7018.T,2025-10-09,1.289
7022.T,2025-08-21,1.019
7030.T,2021-08-12,1.009
7033.T,2022-06-20,1.066
7033.T,2024-08-05,1.013
7038.T,2021-12-15,1.009
7046.T,2023-04-26,1.028
7044.T,2021-11-29,1.027
7047.T,2022-08-10,1.028
7047.T,2023-03-16,1.0
7050.T,2022-01-20,1.017
7061.T,2022-08-08,1.044
7066.T,2023-08-18,1.052
7063.T,2022-01-31,1.049
7063.T,2023-11-14,1.032
7063.T,2025-04-07,1.045
7073.T,2024-01-17,1.062
7080.T,2022-06-30,1.114
7078.T,2021-08-25,3.821
7071.T,2021-07-30,1.016
7071.T,2022-06-13,1.092
7071.T,2025-04-07,1.064
7082.T,2022-06-17,1.011
7082.T,2026-03-04,1.043
7083.T,2024-05-29,2.817
7093.T,2025-04-07,1.005
7089.T,2021-08-16,1.064
7089.T,2022-05-12,1.008
7095.T,2022-06-17,1.101
7095.T,2022-12-21,1.154
7094.T,2022-02-24,1.053
7094.T,2025-03-03,1.009
7115.T,2025-04-04,1.041
7130.T,2022-12-02,1.013
7138.T,2025-07-23,1.113
7162.T,2025-10-30,1.003
7157.T,2022-03-14,1.025
7172.T,2023-12-29,1.086
7172.T,2024-08-05,1.21
7180.T,2023-04-28,1.049
7184.T,2025-07-07,1.022
7187.T,2021-06-18,1.069
7187.T,2022-05-09,1.221
7211.T,2022-03-02,1.043
7212.T,2025-04-07,1.017
7214.T,2023-05-01,1.184
7220.T,2024-05-22,1.045
7220.T,2025-04-07,1.081
7220.T,2025-11-13,1.342
7241.T,2023-03-16,1.101
7236.T,2023-07-12,1.005
7236.T,2025-10-23,1.154
7245.T,2025-03-31,1.042
7254.T,2021-11-18,1.0
7256.T,2023-05-16,1.195
7256.T,2025-08-07,1.009
7256.T,2026-02-16,1.413
7271.T,2025-10-10,1.022
7273.T,2025-01-30,1.732
7279.T,2025-04-04,1.08
7280.T,2023-09-11,1.051
7280.T,2025-07-11,1.101
7305.T,2023-12-14,1.036
7318.T,2025-06-11,1.243
7318.T,2025-12-15,1.256
7322.T,2025-04-07,1.061
7322.T,2025-10-14,1.026
7352.T,2023-03-20,1.052
7352.T,2023-09-21,1.477
7352.T,2024-08-06,1.244
7367.T,2022-12-19,1.004
7359.T,2022-08-30,1.761
7359.T,2025-01-14,1.024
7375.T,2025-10-07,1.079
7373.T,2024-08-05,1.057
7373.T,2025-04-07,1.301
7380.T,2025-10-06,1.005
7384.T,2025-10-03,1.003
7409.T,2025-08-14,3.007
7389.T,2025-07-07,1.064
7383.T,2024-05-15,1.13
7383.T,2025-02-21,1.036
7427.T,2023-04-10,1.082
7453.T,2024-10-22,1.024
7456.T,2025-08-14,1.038
7523.T,2025-04-04,1.005
7550.T,2023-01-04,1.033
7578.T,2023-06-29,1.343
7601.T,2023-08-08,1.01
7599.T,2023-10-10,1.008
7603.T,2024-12-06,1.512
7608.T,2025-04-07,1.088
7615.T,2025-08-15,1.097
7685.T,2022-01-19,1.02
7685.T,2024-03-01,1.003
7685.T,2025-08-12,1.08
7695.T,2022-01-27,1.084
7707.T,2022-02-17,1.076
7707.T,2024-02-19,1.131
7715.T,2022-12-21,1.045
7711.T,2024-04-24,1.041
7711.T,2025-02-14,1.042
7711.T,2025-08-20,2.396
7717.T,2025-04-07,1.215
7717.T,2025-11-17,1.025
7721.T,2023-10-04,1.016
7721.T,2025-04-07,1.044
7729.T,2025-08-05,1.026
7740.T,2023-10-26,1.006
7735.T,2022-12-27,1.026
7735.T,2023-07-21,1.02
7735.T,2025-08-18,1.106
7745.T,2023-10-26,1.016
7746.T,2025-03-12,1.333
7746.T,2025-09-12,2.944
7760.T,2024-08-01,1.037
7760.T,2025-08-13,1.005
7762.T,2025-10-31,1.139
7771.T,2026-01-07,4.473
7769.T,2023-07-12,1.002
7779.T,2025-08-14,1.136
7776.T,2022-07-15,1.344
7776.T,2023-01-23,1.605
7776.T,2023-12-28,1.0
7776.T,2024-07-05,1.028
7777.T,2021-06-21,1.027
7777.T,2024-12-05,1.393
7777.T,2025-07-02,1.061
7777.T,2026-01-08,1.116
7794.T,2025-08-01,1.299
7806.T,2024-10-25,1.179
7809.T,2022-03-08,1.081
7803.T,2021-08-03,1.006
7803.T,2024-11-15,1.051
7826.T,2021-08-03,1.006
7826.T,2025-08-04,1.219
7859.T,2022-02-15,1.02
7859.T,2022-08-22,1.68
7859.T,2023-05-09,1.085
7859.T,2023-12-14,1.079
7868.T,2022-05-10,1.249
7878.T,2022-08-09,1.245
7906.T,2022-02-03,1.002
7906.T,2024-02-15,1.015
7906.T,2025-02-06,1.142
7901.T,2022-12-15,1.253
7901.T,2025-09-02,1.08
7936.T,2023-12-12,1.012
7936.T,2024-08-05,1.014
7940.T,2025-05-09,1.043
7946.T,2025-08-20,1.073
7972.T,2023-03-14,1.092
7979.T,2024-02-19,1.013
7991.T,2024-08-05,1.024
7995.T,2025-11-12,1.016
8002.T,2025-04-07,1.001
8015.T,2025-04-07,1.128
8022.T,2023-11-15,1.004
8035.T,2023-09-28,1.001
8035.T,2025-08-06,1.053
8050.T,2023-12-08,1.035
8050.T,2025-04-07,1.076
8050.T,2025-10-09,1.053
8057.T,2025-04-07,1.045
8105.T,2026-03-23,1.145
8136.T,2023-02-14,1.003
8136.T,2024-05-21,1.037
8139.T,2022-03-24,2.325
8139.T,2022-10-03,1.146
8139.T,2023-06-12,1.0
8142.T,2023-01-16,1.018
8202.T,2021-12-02,1.043
8219.T,2023-03-20,1.018
8219.T,2024-08-05,1.04
8233.T,2025-08-04,1.013
8237.T,2025-06-23,1.008
8267.T,2025-05-21,1.019
8337.T,2022-07-15,1.008
8337.T,2023-05-22,1.066
8337.T,2024-08-05,1.03
8338.T,2025-07-08,1.021
8346.T,2025-08-05,1.072
8345.T,2025-08-04,1.027
8362.T,2025-10-29,1.003
8360.T,2025-04-07,1.08
8361.T,2025-04-07,1.018
8361.T,2025-10-09,1.0
8368.T,2025-07-16,1.056
8377.T,2025-04-07,1.106
8386.T,2025-08-04,1.057
8387.T,2025-08-05,1.003
8392.T,2025-07-31,1.017
8395.T,2025-08-05,1.013
8399.T,2025-08-01,1.001
8393.T,2025-07-08,1.015
8473.T,2025-04-07,1.451
8508.T,2022-03-08,1.05
8508.T,2025-11-13,1.051
8522.T,2025-08-04,1.036
8524.T,2025-04-07,1.071
8544.T,2025-08-04,1.028
8550.T,2025-04-07,1.189
8550.T,2025-10-09,1.09
8613.T,2023-03-20,1.043
8624.T,2025-10-14,1.007
8698.T,2024-08-05,1.151
8706.T,2023-09-06,1.125
8708.T,2023-12-11,1.019
8715.T,2025-04-07,1.022
8715.T,2025-10-09,1.114
8725.T,2023-12-21,1.046
8746.T,2023-08-15,1.34
8746.T,2025-02-25,1.064
8746.T,2025-11-21,1.121
8798.T,2025-04-07,1.137
8783.T,2024-07-02,1.042
8783.T,2025-06-25,1.097
8848.T,2022-03-08,1.04
8864.T,2025-04-07,1.021
8894.T,2024-06-20,1.788
8927.T,2025-03-07,1.009
8995.T,2025-09-04,1.044
9067.T,2025-04-07,1.0
9073.T,2024-08-05,1.376
9115.T,2021-11-26,1.013
9115.T,2025-09-10,1.019
9107.T,2021-06-29,1.124
9107.T,2023-06-20,1.024
9130.T,2025-09-03,1.493
9168.T,2025-02-25,1.019
9171.T,2025-04-04,1.043
9211.T,2024-11-14,1.003
9235.T,2024-11-21,1.108
9227.T,2025-04-07,1.203
9227.T,2025-11-27,1.003
9241.T,2025-08-14,1.073
9240.T,2025-06-30,1.089
9249.T,2023-07-19,1.688
9268.T,2023-09-26,1.324
9270.T,2022-02-03,1.049
9272.T,2023-02-15,1.003
9279.T,2022-06-15,1.022
9274.T,2022-02-07,1.29
9338.T,2024-08-05,1.154
9338.T,2025-11-17,1.043
9343.T,2024-08-05,1.21
9348.T,2024-08-05,1.072
9348.T,2025-02-12,1.171
9369.T,2023-12-28,1.015
9369.T,2025-02-26,1.038
9401.T,2023-10-03,1.028
9412.T,2025-08-05,1.023
9425.T,2025-03-05,1.286
9467.T,2024-10-18,1.007
9501.T,2021-12-24,1.202
9501.T,2025-02-27,1.033
9509.T,2023-10-16,1.07
9519.T,2022-02-09,1.097
9519.T,2025-04-07,1.051
9519.T,2025-12-11,1.025
9554.T,2024-08-05,1.107
9553.T,2024-11-28,1.005
9553.T,2025-09-29,1.07
9556.T,2024-04-03,1.012
9556.T,2025-03-21,1.004
9552.T,2023-08-14,1.064
9552.T,2026-03-19,1.043
9562.T,2024-08-05,1.022
9561.T,2024-03-05,1.002
9610.T,2024-11-05,1.163
9610.T,2025-05-21,1.014
9722.T,2023-11-08,1.028
9812.T,2024-01-18,1.02
9827.T,2022-03-30,1.0
9828.T,2023-05-01,1.09
9880.T,2025-08-12,1.037
9880.T,2026-03-23,1.004
9960.T,2023-10-04,1.023
9984.T,2025-02-28,1.025
9984.T,2025-11-21,1.023
